"sequence_number"|"sale_ndc11"|"sale_ndc11_clean"|"sale_proprietary_name"|"sale_labeler"|"start_date"|"end_date"|"sale_gtin"|"sale_last_update"|"use_ndc11"|"no_use_ndc"|"use_gtin"|"use_last_update"|"cvx_code"|"cvx_description"|"mvx_code"
"204"|"49281-0519-25"|"49281051925"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2019"|"06/30/2020"|""|"07/14/2020"|"49281-0519-00"|"False"|"00349281519000"|"07/13/2020"|"161"|"Influenza, injectable,quadrivalent, preservative free, pediatric"|"PMC"
"205"|"49281-0520-25"|"49281052025"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2020"|"06/30/2021"|""|"07/06/2021"|"49281-0520-00"|"False"|""|"07/06/2021"|"161"|"Influenza, injectable,quadrivalent, preservative free, pediatric"|"PMC"
"206"|"49281-0521-25"|"49281052125"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/02/2021"|""|""|"07/19/2021"|"49281-0521-00"|"False"|""|"07/19/2021"|"161"|"Influenza, injectable,quadrivalent, preservative free, pediatric"|"PMC"
"207"|"49281-0545-03"|"49281054503"|"ActHIB"|"Sanofi Pasteur Inc."|"05/31/2016"|""|""|"07/11/2018"|"49281-0547-58"|"False"|"00349281547584"|"10/30/2015"|"48"|"Hib (PRP-T)"|"PMC"
"208"|"49281-0545-05"|"49281054505"|"ActHIB"|"Sanofi Pasteur Inc."|"03/30/1993"|"11/28/2016"|""|"07/12/2018"|"49281-0547-58"|"False"|"00349281547584"|"10/30/2015"|"48"|"Hib (PRP-T)"|"PMC"
"209"|"49281-0562-10"|"49281056210"|"QUADRACEL"|"Sanofi Pasteur Inc."|"03/24/2015"|""|""|"07/13/2018"|"49281-0562-58"|"False"|"00349281562587"|"07/05/2018"|"130"|"DTaP-IPV"|"PMC"
"210"|"49281-0589-05"|"49281058905"|"Menactra"|"Sanofi Pasteur Inc."|"01/14/2005"|""|""|"07/13/2018"|"49281-0589-58"|"False"|"00349281589584"|"11/20/2017"|"114"|"meningococcal MCV4P"|"PMC"
"211"|"49281-0590-05"|"49281059005"|"MenQuadfi"|"Sanofi Pasteur Inc."|"04/23/2020"|""|""|"05/27/2020"|"49281-0590-58"|"False"|""|"05/27/2020"|"203"|"meningococcal polysaccharide (groups A, C, Y, W-135) TT conjugate"|"PMC"
"212"|"49281-0605-01"|"49281060501"|"DENGVAXIA"|"Sanofi Pasteur Inc."|"05/01/2019"|""|""|"09/04/2019"|"49281-0606-58"|"False"|""|"09/04/2019"|"56"|"dengue fever"|"PMC"
"213"|"49281-0621-15"|"49281062115"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"06/27/2014"|"06/30/2015"|""|"07/06/2018"|"49281-0621-78"|"False"|""|"11/20/2017"|"158"|"influenza, injectable, quadrivalent"|"PMC"
"214"|"49281-0625-15"|"49281062515"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2016"|"06/30/2017"|""|"07/11/2018"|"49281-0625-78"|"False"|""|"05/30/2018"|"158"|"influenza, injectable, quadrivalent"|"PMC"
"215"|"49281-0627-15"|"49281062715"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2017"|"06/30/2018"|""|"07/13/2018"|"49281-0627-78"|"False"|""|"07/09/2018"|"158"|"influenza, injectable, quadrivalent"|"PMC"
"216"|"49281-0629-15"|"49281062915"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"06/29/2018"|"06/30/2019"|""|"07/16/2019"|"49281-0629-78"|"False"|"00349281629785"|"07/16/2019"|"158"|"influenza, injectable, quadrivalent"|"PMC"
"217"|"49281-0631-15"|"49281063115"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2019"|"06/30/2020"|""|"07/14/2020"|"49281-0631-78"|"False"|"00349281631788"|"07/13/2020"|"158"|"influenza, injectable, quadrivalent"|"PMC"
"218"|"49281-0633-15"|"49281063315"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2020"|"06/30/2021"|""|"07/06/2021"|"49281-0633-78"|"False"|""|"07/06/2021"|"158"|"influenza, injectable, quadrivalent"|"PMC"
"219"|"49281-0635-15"|"49281063515"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/02/2021"|""|""|"07/19/2021"|"49281-0635-78"|"False"|""|"07/19/2021"|"158"|"influenza, injectable, quadrivalent"|"PMC"
"220"|"49281-0640-15"|"49281064015"|"INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE"|"Sanofi Pasteur Inc."|"09/15/2009"|"03/03/2017"|""|"05/30/2018"|"49281-0640-15"|"True"|""|"06/08/2018"|"127"|"Novel influenza-H1N1-09"|"PMC"
"221"|"49281-0650-10"|"49281065010"|"INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE"|"Sanofi Pasteur Inc."|"09/15/2009"|"06/30/2010"|""|"10/15/2019"|"49281-0650-10"|"True"|""|"10/15/2019"|"126"|"Novel influenza-H1N1-09, preservative-free"|"PMC"
"222"|"49281-0650-25"|"49281065025"|"INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE"|"Sanofi Pasteur Inc."|"09/15/2009"|"06/30/2010"|""|"10/15/2019"|"49281-0650-25"|"True"|""|"10/15/2019"|"126"|"Novel influenza-H1N1-09, preservative-free"|"PMC"
"223"|"49281-0650-50"|"49281065050"|"INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE"|"Sanofi Pasteur Inc."|"09/15/2009"|"06/30/2010"|""|"10/15/2019"|"49281-0650-50"|"True"|""|"10/15/2019"|"126"|"Novel influenza-H1N1-09, preservative-free"|"PMC"
"224"|"49281-0650-70"|"49281065070"|"INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE"|"Sanofi Pasteur Inc."|"09/15/2009"|"06/30/2010"|""|"10/15/2019"|"49281-0650-70"|"True"|""|"10/15/2019"|"126"|"Novel influenza-H1N1-09, preservative-free"|"PMC"
"225"|"49281-0650-90"|"49281065090"|"INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE"|"Sanofi Pasteur Inc."|"09/15/2009"|"06/30/2010"|""|"10/15/2019"|"49281-0650-90"|"True"|""|"10/15/2019"|"126"|"Novel influenza-H1N1-09, preservative-free"|"PMC"
"226"|"49281-0703-55"|"49281070355"|"FLUZONE INTRADERMAL"|"Sanofi Pasteur Inc."|"07/01/2011"|"06/30/2012"|""|"01/29/2018"|"49281-0703-55"|"True"|"00349281703553"|"02/27/2018"|"144"|"influenza, seasonal, intradermal, preservative free"|"PMC"
"227"|"49281-0705-55"|"49281070555"|"FLUZONE"|"Sanofi Pasteur Inc."|"07/02/2012"|"06/30/2013"|""|"12/07/2017"|"49281-0705-55"|"True"|"00349281705557"|"07/05/2018"|"144"|"influenza, seasonal, intradermal, preservative free"|"PMC"
"228"|"49281-0707-55"|"49281070755"|"FLUZONE"|"Sanofi Pasteur Inc."|"06/28/2013"|"06/30/2014"|""|"12/07/2017"|"49281-0707-48"|"False"|"00349281707483"|"02/22/2018"|"144"|"influenza, seasonal, intradermal, preservative free"|"PMC"
"229"|"49281-0708-40"|"49281070840"|"FLUZONE INTRADERMAL QUADRIVALENT"|"Sanofi Pasteur Inc."|"12/11/2014"|"06/30/2015"|""|"12/07/2017"|"49281-0708-48"|"False"|""|"07/05/2018"|"166"|"influenza, intradermal, quadrivalent, preservative free"|"PMC"
"230"|"49281-0709-55"|"49281070955"|"FLUZONE Intradermal"|"Sanofi Pasteur Inc."|"06/27/2014"|"06/30/2015"|""|"07/12/2018"|"49281-0709-48"|"False"|"00349281709487"|"07/05/2018"|"144"|"influenza, seasonal, intradermal, preservative free"|"PMC"
"231"|"49281-0710-40"|"49281071040"|"FLUZONE INTRADERMAL QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2016"|"06/30/2017"|""|"07/11/2018"|"49281-0710-48"|"False"|""|"05/30/2018"|"166"|"influenza, intradermal, quadrivalent, preservative free"|"PMC"
"232"|"49281-0712-40"|"49281071240"|"FLUZONE INTRADERMAL QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2017"|"06/30/2018"|""|"07/13/2018"|"49281-0712-48"|"False"|"00349281712487"|"07/09/2018"|"166"|"influenza, intradermal, quadrivalent, preservative free"|"PMC"
"233"|"49281-0718-10"|"49281071810"|"Flublok Quadrivalent"|"Sanofi Pasteur Inc."|"06/29/2018"|"06/30/2019"|""|"07/16/2019"|"49281-0718-88"|"False"|"00349281718885"|"07/16/2019"|"185"|"influenza, recombinant, quadrivalent,injectable, preservative free"|"PMC"
"234"|"49281-0719-10"|"49281071910"|"Flublok Quadrivalent"|"Sanofi Pasteur Inc."|"07/01/2019"|"06/30/2020"|""|"07/14/2020"|"49281-0719-88"|"False"|"00349281719882"|"07/13/2020"|"185"|"influenza, recombinant, quadrivalent,injectable, preservative free"|"PMC"
"235"|"49281-0720-10"|"49281072010"|"Flublok Quadrivalent Northern Hemisphere"|"Sanofi Pasteur Inc."|"07/01/2020"|"06/30/2021"|""|"07/06/2021"|"49281-0720-88"|"False"|""|"07/06/2021"|"185"|"influenza, recombinant, quadrivalent,injectable, preservative free"|"PMC"
"236"|"49281-0721-10"|"49281072110"|"Flublok Quadrivalent Northern Hemisphere"|"Sanofi Pasteur Inc."|"07/02/2021"|""|""|"07/20/2021"|"49281-0721-88"|"False"|""|"07/22/2021"|"185"|"influenza, recombinant, quadrivalent,injectable, preservative free"|"PMC"
"237"|"49281-0790-20"|"49281079020"|"Typhim Vi"|"Sanofi Pasteur Inc."|"11/28/1994"|""|""|"07/13/2018"|"49281-0790-38"|"False"|""|"07/13/2018"|"101"|"typhoid, ViCPs"|"PMC"
"238"|"49281-0790-51"|"49281079051"|"Typhim Vi"|"Sanofi Pasteur Inc."|"11/28/1994"|""|""|"07/13/2018"|"49281-0790-88"|"False"|""|"07/13/2018"|"101"|"typhoid, ViCPs"|"PMC"
"239"|"49281-0800-83"|"49281080083"|"TETANUS TOXOID ADSORBED"|"Sanofi Pasteur Inc."|"09/23/2005"|"05/05/2017"|""|"05/30/2018"|"49281-0800-83"|"True"|""|"05/30/2018"|"35"|"tetanus toxoid, adsorbed"|"PMC"
"240"|"49281-0820-10"|"49281082010"|"TETANUS TOXOID ADSORBED"|"Sanofi Pasteur Inc."|"09/23/2005"|"05/05/2017"|""|"05/30/2018"|"49281-0820-10"|"True"|""|"05/30/2018"|"35"|"tetanus toxoid, adsorbed"|"PMC"
"241"|"49281-0860-10"|"49281086010"|"IPOL"|"Sanofi Pasteur Inc."|"12/21/1990"|""|""|"08/20/2018"|"49281-0860-78"|"False"|"00349281860782"|"11/20/2017"|"10"|"IPV"|"PMC"
"242"|"49281-0860-10"|"49281086010"|"IPOL"|"Sanofi Pasteur Inc."|"12/21/1990"|""|""|"08/20/2018"|"49281-0860-88"|"False"|"00349281860881"|"06/08/2018"|"10"|"IPV"|"PMC"
"243"|"49281-0860-55"|"49281086055"|"IPOL"|"Sanofi Pasteur Inc."|"12/21/1990"|"06/16/2011"|""|"08/20/2018"|"49281-0860-78"|"False"|"00349281860782"|"11/20/2017"|"10"|"IPV"|"PMC"
"244"|"49281-0913-01"|"49281091301"|"STAMARIL"|"Sanofi Pasteur Inc."|"09/27/2016"|""|""|"01/21/2020"|"49281-0913-01"|"True"|""|"07/05/2018"|"183"|"Yellow fever vaccine - alt"|"PMC"
"245"|"49281-0915-01"|"49281091501"|"YF-VAX"|"Sanofi Pasteur Inc."|"05/22/1953"|""|""|"04/30/2020"|"49281-0915-58"|"False"|"00349281915581"|"04/30/2020"|"37"|"yellow fever"|"PMC"
"246"|"49281-0915-05"|"49281091505"|"YF-VAX"|"Sanofi Pasteur Inc."|"05/22/1953"|""|""|"04/30/2020"|"49281-0915-68"|"False"|"00349281915680"|"04/30/2020"|"37"|"yellow fever"|"PMC"
"247"|"50090-1693-09"|"50090169309"|"IPOL"|"A-S Medication Solutions"|"08/17/2018"|"01/01/2020"|""|"02/06/2020"|"50090-1693-00"|"False"|""|"02/06/2020"|"10"|"IPV"|"PMC"
"248"|"50090-2883-00"|"50090288300"|"INFANRIX"|"A-S Medication Solutions"|"09/21/2018"|"01/01/2020"|""|"02/06/2020"|"50090-2883-09"|"False"|""|"04/15/2020"|"20"|"DTaP"|"SKB"
"249"|"50090-3096-00"|"50090309600"|"RabAvert"|"A-S Medication Solutions"|"08/17/2018"|"01/01/2020"|""|"02/06/2020"|"58160-0966-01"|"False"|""|"02/06/2020"|"176"|"Rabies - IM fibroblast culture"|"SKB"
"250"|"50090-3469-00"|"50090346900"|"HEPLISAV-B"|"A-S Medication Solutions"|"01/01/2018"|"01/01/2020"|""|"01/21/2020"|"50090-3469-09"|"False"|""|"01/21/2020"|"189"|"HepB-CpG"|"DVX"
"251"|"50090-5147-00"|"50090514700"|"Shingrix"|"A-S Medication Solutions"|"10/01/2020"|""|""|"12/03/2020"|"58160-0828-01"|"False"|"00358160828010"|"10/13/2020"|"187"|"zoster recombinant"|"SKB"
"252"|"50632-0010-01"|"50632001001"|"RabAvert"|"Bavarian Nordic A/S"|"05/24/2021"|""|""|"06/03/2021"|"50632-0013-01"|"False"|""|"06/03/2021"|"176"|"Rabies - IM fibroblast culture"|"SKB"
"253"|"51285-0138-50"|"51285013850"|"Adenovirus Type 4 and Type 7 Vaccine, Live"|"Teva Womens Health, Inc."|"05/31/2011"|""|""|"07/12/2018"|"51285-0175-02"|"False"|""|"01/27/2014"|"143"|"Adenovirus types 4 and 7"|"BRR"
"254"|"51285-0138-50"|"51285013850"|"Adenovirus Type 4 and Type 7 Vaccine, Live"|"Teva Womens Health, Inc."|"05/31/2011"|""|""|"07/12/2018"|"51285-0175-02"|"False"|""|"01/27/2014"|"143"|"Adenovirus types 4 and 7"|"TVA"
"255"|"51285-0138-50"|"51285013850"|"Adenovirus Type 4 and Type 7 Vaccine, Live"|"Teva Womens Health, Inc."|"05/31/2011"|""|""|"07/12/2018"|"51285-0174-02"|"False"|""|"01/27/2014"|"143"|"Adenovirus types 4 and 7"|"BRR"
"256"|"51285-0138-50"|"51285013850"|"Adenovirus Type 4 and Type 7 Vaccine, Live"|"Teva Womens Health, Inc."|"05/31/2011"|""|""|"07/12/2018"|"51285-0174-02"|"False"|""|"01/27/2014"|"143"|"Adenovirus types 4 and 7"|"TVA"
"257"|"54868-0734-00"|"54868073400"|"ENGERIX-B"|"Physicians Total Care, Inc."|"08/05/2002"|"06/30/2012"|""|"04/06/2018"|"54868-0734-00"|"True"|""|"04/06/2018"|"43"|"Hep B, adult"|"SKB"
"258"|"54868-0980-00"|"54868098000"|"M-M-R II"|"Physicians Total Care, Inc."|"08/07/1996"|"06/30/2012"|""|"01/29/2018"|"54868-0980-00"|"True"|""|"01/29/2018"|"03"|"MMR"|"MSD"
"259"|"54868-2219-00"|"54868221900"|"RECOMBIVAX HB"|"Physicians Total Care, Inc."|"07/23/1986"|"06/30/2012"|""|"07/13/2018"|"54868-2219-00"|"True"|""|"04/06/2018"|"43"|"Hep B, adult"|"MSD"
"260"|"54868-2219-01"|"54868221901"|"RECOMBIVAX HB"|"Physicians Total Care, Inc."|"07/23/1986"|"06/30/2012"|""|"07/13/2018"|"54868-2219-01"|"True"|""|"04/06/2018"|"43"|"Hep B, adult"|"MSD"
"261"|"54868-3339-01"|"54868333901"|"PNEUMOVAX 23"|"PHYSICIANS TOTAL CARE, INC"|"09/20/1994"|"06/30/2009"|""|"07/13/2018"|"54868-3339-09"|"False"|""|"02/22/2018"|"33"|"pneumococcal polysaccharide PPV23"|"MSD"
"262"|"54868-4320-00"|"54868432000"|"PNEUMOVAX 23"|"PHYSICIANS TOTAL CARE, INC"|"02/20/2006"|"06/30/2011"|""|"07/13/2018"|"54868-4320-09"|"False"|""|"01/27/2014"|"33"|"pneumococcal polysaccharide PPV23"|"MSD"
"263"|"54868-6177-00"|"54868617700"|"FLUZONE"|"PHYSICIANS TOTAL CARE, INC"|"09/16/2010"|"06/30/2011"|""|"04/06/2018"|"54868-6177-00"|"True"|""|"04/06/2018"|"141"|"Influenza, seasonal, injectable"|"PMC"
"264"|"54868-6180-00"|"54868618000"|"FLUZONE"|"PHYSICIANS TOTAL CARE, INC"|"09/21/2010"|"06/30/2011"|""|"04/06/2018"|"54868-6180-00"|"True"|""|"04/06/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"PMC"
"265"|"55045-3841-01"|"55045384101"|"HAVRIX"|"Dispensing Solutions, Inc."|"04/13/2007"|"10/04/2019"|""|"10/15/2019"|"55045-3841-01"|"True"|""|"02/05/2021"|"52"|"Hep A, adult"|"SKB"
"266"|"58160-0801-11"|"58160080111"|"Menhibrix"|"GlaxoSmithKline Biologicals SA"|"09/03/2013"|"09/17/2017"|"00358160801112"|"05/30/2018"|"58160-0809-01"|"False"|"00358160809019"|"05/30/2018"|"148"|"Meningococcal C/Y-HIB PRP"|"SKB"
"267"|"58160-0806-05"|"58160080605"|"HIBERIX"|"GlaxoSmithKline Biologicals SA"|"08/24/2009"|"12/15/2011"|""|"06/08/2018"|"58160-0806-01"|"False"|"00358160806018"|"06/08/2018"|"48"|"Hib (PRP-T)"|"SKB"
"268"|"58160-0808-15"|"58160080815"|"Influenza A (H5N1) Monovalent Vaccine, Adjuvanted"|"GlaxoSmithKline"|""|""|""|"03/31/2014"|"58160-0802-02"|"False"|""|"01/27/2014"|"160"|"Influenza A monovalent (H5N1), ADJUVANTED-2013"|"SKB"
"269"|"58160-0808-15"|"58160080815"|"Influenza A (H5N1) Monovalent Vaccine, Adjuvanted"|"GlaxoSmithKline"|""|""|""|"03/31/2014"|"58160-0804-01"|"False"|""|"01/27/2014"|"160"|"Influenza A monovalent (H5N1), ADJUVANTED-2013"|"SKB"
"270"|"58160-0809-05"|"58160080905"|"MENHIBRIX"|"GlaxoSmithKline Biologicals SA"|"09/03/2013"|"09/17/2017"|""|"05/30/2018"|"58160-0809-01"|"False"|"00358160809019"|"05/30/2018"|"148"|"Meningococcal C/Y-HIB PRP"|"SKB"
"271"|"58160-0810-11"|"58160081011"|"INFANRIX"|"GlaxoSmithKline Biologicals SA"|"07/24/2009"|""|"00358160810114"|"12/07/2017"|"58160-0810-01"|"False"|"10358160810012"|"05/06/2019"|"20"|"DTaP"|"SKB"
"272"|"58160-0810-52"|"58160081052"|"INFANRIX"|"GlaxoSmithKline Biologicals SA"|"07/24/2009"|""|"00358160810527"|"12/07/2017"|"58160-0810-43"|"False"|"10358160810432"|"05/06/2019"|"20"|"DTaP"|"SKB"
"273"|"58160-0811-51"|"58160081151"|"PEDIARIX"|"GlaxoSmithKline Biologicals SA"|"07/24/2009"|"02/24/2011"|""|"06/08/2018"|"58160-0811-41"|"False"|""|"06/08/2018"|"110"|"DTaP-Hep B-IPV"|"SKB"
"274"|"58160-0811-52"|"58160081152"|"PEDIARIX"|"GlaxoSmithKline Biologicals SA"|"07/24/2009"|""|"00358160811524"|"12/07/2017"|"58160-0811-43"|"False"|"10358160811439"|"05/06/2019"|"110"|"DTaP-Hep B-IPV"|"SKB"
"275"|"58160-0812-11"|"58160081211"|"KINRIX"|"GlaxoSmithKline Biologicals SA"|"07/09/2008"|""|"00358160812118"|"12/07/2017"|"58160-0812-01"|"False"|"10358160812016"|"05/06/2019"|"130"|"DTaP-IPV"|"SKB"
"276"|"58160-0812-52"|"58160081252"|"KINRIX"|"GlaxoSmithKline Biologicals SA"|"07/09/2008"|""|"00358160812521"|"12/07/2017"|"58160-0812-43"|"False"|"10358160812436"|"05/06/2019"|"130"|"DTaP-IPV"|"SKB"
"277"|"58160-0815-11"|"58160081511"|"TWINRIX"|"GlaxoSmithKline Biologicals SA"|"06/07/2007"|"01/18/2018"|"00358160815119"|"05/30/2018"|"58160-0815-01"|"False"|"00358160815010"|"06/08/2018"|"104"|"Hep A-Hep B"|"SKB"
"278"|"58160-0815-34"|"58160081534"|"TWINRIX"|"GlaxoSmithKline Biologicals SA"|"06/07/2007"|"01/18/2018"|"00358160815348"|"05/30/2018"|"58160-0815-05"|"False"|"00358160815058"|"05/30/2018"|"104"|"Hep A-Hep B"|"SKB"
"279"|"58160-0815-46"|"58160081546"|"TWINRIX"|"GlaxoSmithKline Biologicals SA"|"06/07/2007"|"02/03/2011"|""|"06/08/2018"|"58160-0815-41"|"False"|""|"10/02/2014"|"104"|"Hep A-Hep B"|"SKB"
"280"|"58160-0815-48"|"58160081548"|"TWINRIX"|"GlaxoSmithKline Biologicals SA"|"06/07/2007"|"04/27/2011"|""|"06/08/2018"|"58160-0815-43"|"False"|"10358160815437"|"05/06/2019"|"104"|"Hep A-Hep B"|"SKB"
"281"|"58160-0815-52"|"58160081552"|"TWINRIX"|"GlaxoSmithKline Biologicals SA"|"06/07/2007"|""|"00358160815522"|"12/07/2017"|"58160-0815-43"|"False"|"10358160815437"|"05/06/2019"|"104"|"Hep A-Hep B"|"SKB"
"282"|"58160-0816-05"|"58160081605"|"Hiberix"|"GlaxoSmithKline Biologicals SA"|"12/21/2015"|""|"00358160816055"|"07/06/2018"|"58160-0816-01"|"False"|"10358160816014"|"05/06/2019"|"48"|"Hib (PRP-T)"|"SKB"
"283"|"58160-0818-11"|"58160081811"|"Hiberix"|"GlaxoSmithKline Biologicals SA"|"12/21/2015"|""|"00358160818110"|"07/06/2018"|"58160-0816-05"|"False"|"10358160816052"|"05/06/2019"|"48"|"Hib (PRP-T)"|"SKB"
"284"|"58160-0819-12"|"58160081912"|"Shingrix"|"GlaxoSmithKline Biologicals SA"|"10/20/2017"|""|"00358160819124"|"10/08/2019"|"58160-0828-01"|"False"|"00358160828010"|"10/13/2020"|"187"|"zoster recombinant"|"SKB"
"285"|"58160-0820-11"|"58160082011"|"ENGERIX-B"|"GlaxoSmithKline Biologicals SA"|"04/25/2007"|"08/30/2019"|"00358160820113"|"09/04/2019"|"58160-0820-01"|"False"|"10358160820011"|"09/04/2019"|"08"|"Hep B, adolescent or pediatric"|"SKB"
"286"|"58160-0820-52"|"58160082052"|"ENGERIX-B"|"GlaxoSmithKline Biologicals SA"|"04/25/2007"|""|"00358160820526"|"12/07/2017"|"58160-0820-43"|"False"|"10358160820431"|"05/06/2019"|"08"|"Hep B, adolescent or pediatric"|"SKB"
"287"|"58160-0821-11"|"58160082111"|"ENGERIX-B"|"GlaxoSmithKline Biologicals SA"|"03/28/2007"|""|"00358160821110"|"12/07/2017"|"58160-0821-01"|"False"|"10358160821018"|"05/06/2019"|"43"|"Hep B, adult"|"SKB"
"288"|"58160-0821-34"|"58160082134"|"ENGERIX-B"|"GlaxoSmithKline Biologicals SA"|"03/28/2007"|""|"00358160821349"|"12/07/2017"|"58160-0821-05"|"False"|"10358160821056"|"05/06/2019"|"43"|"Hep B, adult"|"SKB"
"289"|"58160-0821-52"|"58160082152"|"ENGERIX-B"|"GlaxoSmithKline Biologicals SA"|"03/28/2007"|""|"00358160821523"|"12/07/2017"|"58160-0821-43"|"False"|"10358160821438"|"05/06/2019"|"43"|"Hep B, adult"|"SKB"
"290"|"58160-0823-11"|"58160082311"|"Shingrix"|"GlaxoSmithKline Biologicals SA"|"10/20/2017"|""|"00358160823114"|"10/08/2019"|"58160-0828-03"|"False"|"10358160828031"|"03/17/2021"|"187"|"zoster recombinant"|"SKB"
"291"|"58160-0825-11"|"58160082511"|"HAVRIX"|"GlaxoSmithKline Biologicals SA"|"02/16/2007"|"02/11/2021"|"00358160825118"|"04/05/2021"|"58160-0825-01"|"False"|"10358160825016"|"03/23/2021"|"83"|"Hep A, ped/adol, 2 dose"|"SKB"
"292"|"58160-0825-52"|"58160082552"|"HAVRIX"|"GlaxoSmithKline Biologicals SA"|"02/16/2007"|""|"00358160825521"|"12/07/2017"|"58160-0825-43"|"False"|"10358160825436"|"05/06/2019"|"83"|"Hep A, ped/adol, 2 dose"|"SKB"
"293"|"58160-0826-11"|"58160082611"|"HAVRIX"|"GlaxoSmithKline Biologicals SA"|"04/13/2007"|"02/11/2021"|"00358160826115"|"04/05/2021"|"58160-0826-01"|"False"|"10358160826013"|"03/23/2021"|"52"|"Hep A, adult"|"SKB"
"294"|"58160-0826-34"|"58160082634"|"HAVRIX"|"GlaxoSmithKline Biologicals SA"|"04/13/2007"|"03/03/2020"|"00358160826344"|"03/11/2020"|"58160-0826-05"|"False"|"10358160826051"|"03/11/2020"|"52"|"Hep A, adult"|"SKB"
"295"|"58160-0826-52"|"58160082652"|"HAVRIX"|"GlaxoSmithKline Biologicals SA"|"04/13/2007"|""|"00358160826528"|"12/07/2017"|"58160-0826-43"|"False"|"10358160826433"|"05/06/2019"|"52"|"Hep A, adult"|"SKB"
"296"|"58160-0830-34"|"58160083034"|"CERVARIX"|"GlaxoSmithKline Biologicals SA"|"10/16/2009"|"11/29/2016"|"00358160830341"|"05/30/2018"|"58160-0830-05"|"False"|""|"05/30/2018"|"118"|"HPV, bivalent"|"SKB"
"297"|"58160-0830-52"|"58160083052"|"CERVARIX"|"GlaxoSmithKline Biologicals SA"|"10/16/2009"|"11/29/2016"|"00358160830525"|"05/30/2018"|"58160-0830-43"|"False"|"00358160830433"|"05/30/2018"|"118"|"HPV, bivalent"|"SKB"
"298"|"58160-0842-11"|"58160084211"|"BOOSTRIX"|"GlaxoSmithKline Biologicals SA"|"07/24/2009"|""|"00358160842115"|"12/07/2017"|"58160-0842-01"|"False"|"10358160842013"|"05/06/2019"|"115"|"Tdap"|"SKB"
"299"|"58160-0842-34"|"58160084234"|"BOOSTRIX"|"GlaxoSmithKline Biologicals SA"|"07/24/2009"|"10/26/2020"|"00358160842344"|"01/12/2021"|"58160-0842-05"|"False"|"10358160842051"|"10/26/2020"|"115"|"Tdap"|"SKB"
"300"|"58160-0842-51"|"58160084251"|"BOOSTRIX"|"GlaxoSmithKline Biologicals SA"|"07/24/2009"|"06/15/2011"|"00358160842511"|"06/08/2018"|"58160-0842-41"|"False"|""|"06/08/2018"|"115"|"Tdap"|"SKB"
"301"|"58160-0842-52"|"58160084252"|"BOOSTRIX"|"GlaxoSmithKline Biologicals SA"|"07/24/2009"|""|"00358160842528"|"12/07/2017"|"58160-0842-43"|"False"|"10358160842433"|"05/06/2019"|"115"|"Tdap"|"SKB"
"302"|"58160-0854-52"|"58160085452"|"ROTARIX"|"GlaxoSmithKline Biologicals SA"|"01/13/2011"|""|"00358160854521"|"07/12/2018"|"58160-0851-01"|"False"|"10358160851015"|"05/06/2019"|"119"|"rotavirus, monovalent"|"SKB"
"303"|"58160-0879-52"|"58160087952"|"FLUARIX"|"GlaxoSmithKline Biologicals SA"|"07/20/2012"|"06/30/2013"|""|"12/07/2017"|"58160-0879-41"|"False"|""|"11/20/2017"|"140"|"Influenza, seasonal, injectable, preservative free"|"SKB"
"304"|"58160-0880-52"|"58160088052"|"FLUARIX"|"GlaxoSmithKline Biologicals SA"|"07/01/2013"|"06/30/2014"|""|"12/07/2017"|"58160-0880-41"|"False"|""|"11/20/2017"|"140"|"Influenza, seasonal, injectable, preservative free"|"SKB"
"305"|"58160-0881-52"|"58160088152"|"FLUARIX"|"GlaxoSmithKline Biologicals SA"|"06/27/2014"|"06/30/2015"|"00358160881527"|"05/30/2018"|"58160-0881-41"|"False"|"00358160881411"|"05/30/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"SKB"
"306"|"58160-0883-52"|"58160088352"|"FLUARIX"|"GlaxoSmithKline Biologicals SA"|"08/03/2015"|"08/04/2015"|""|"05/30/2018"|"58160-0883-41"|"False"|"00358160883415"|"05/30/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"SKB"
